공고번호,지역,회사명,공고제목,기술스택/분야,마감일
53748625,서울,(주)아이티윌,[국비지원/취업률87%] 오라클 IT부트캠프 수강생 모집,"게임개발, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발 외                    수정일 26/04/28",오늘마감
53933797,서울,주식회사 비온에이치알,우량 의료 IT 기업 C# 개발자 채용,"AI(인공지능), C#, 헬스케어, 정유, 석유화학 외                    등록일 26/05/19",~ 06/03(수)
53933796,서울,(주)베로스컨설팅그룹,LLM 알고리즘 개발 연구원 / 광주 또는 울산 근무,"LLM, 헤드헌팅 등록일 26/05/19",~ 06/03(수)
53933752,서울,( 주)투라인클라우드,SW 개발자 (AI/백엔드) 경력,"백엔드/서버개발, 웹개발, SI개발, 인프라, AI(인공지능) 외                    수정일 26/05/19",~ 06/18(목)
53933694,서울,(주)중고나라,AOS 개발자(Flutter to Native 리빌딩),"Android, Flutter, 전자상거래, 쇼핑몰, B2C 외                    등록일 26/05/19",채용시
53905615,서울,(주)투비파트너즈,[업계1위 핀테크]  글로벌 PM (7년 이상),"서비스기획, 개발PM, 인터넷금융 수정일 26/05/19",~ 05/30(토)
53900619,서울,나이스피앤아이(주),2026년 2분기 NICE피앤아이 채용 공고,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수, 정보보안 외                    수정일 26/05/18",~ 05/31(일)
53685215,서울,(주)유영제약,[유영제약] 2026년 상반기 부문별 채용,"유지보수, 인/허가, 약사, 제약QA, RA 외                    수정일 26/05/19",~ 06/20(토)
53876565,서울,(주)씨아이템프러리,[CI] 현대캐피탈 Digital Auto Product팀 회계관리 계약직 채용,"경리, 더존, 계산서발행, 자산관리, 회계결산 외                    수정일 26/05/19",~ 06/12(금)
53933640,서울,레전더리홀딩스(주),[윈골드] 풀스택 엔지니어(7년 이상),"백엔드/서버개발, 앱개발, 프론트엔드, 핀테크, AWS 외                    등록일 26/05/19",~ 05/31(일)
53933638,서울,(주)디케이비엠시,[DKBMC] 주도적인 Salesforce 영업 담당자를 찾습니다.,"클라우드, 솔루션기술영업, 시스템영업, 영업마케팅, IT영업 외                    수정일 26/05/19",~ 06/18(목)
53933631,서울,펜타시큐리티(주),영업관리 담당자 모집,"정보보안, 정보통신, 영업관리, 영업지원, IT영업 외                    수정일 26/05/19",채용시
53933588,서울,에이피써치,[국내게임사] AI 기반 게임 서버 프로그래머,"게임개발, 백엔드/서버개발, 클라우드, GoLang, Node.js 외                    등록일 26/05/19",채용시
53716428,서울,(주)아이투맥스,[Salesforce 업계 1위] 세일즈포스 신입/경력 채용(본사),"데이터엔지니어, 웹개발, 유지보수, 프론트엔드, DBA 외                    수정일 26/05/19",~ 05/24(일)
53785854,서울,(주)아이투맥스,[Salesforce 업계 1위] 세일즈포스 PM 경력직 채용 (2년 이상),"솔루션, SaaS, CRM마케팅, PM(프로젝트매니저), Salesforce 외                    수정일 26/05/19",~ 06/03(수)
53786035,서울,(주)아이투맥스,[Salesforce 업계 1위] 세일즈포스 CSS팀 개발자 경력 채용,"웹개발, 유지보수, 프론트엔드, SI개발, SAP 외                    수정일 26/05/19",~ 06/03(수)
53350937,서울,(주)포인트모바일,해외영업 및 영업관리 신입/경력 채용,"H/W, 무역사무원, 무역MR, 영업관리, 영업지원 외                    수정일 26/05/12",~ 05/31(일)
53848767,서울,풀림,서비스기획 PM (5년 이상),"브랜드런칭, 마케팅기획, 마케팅전략, 마케팅기획, 서비스기획 외                    수정일 26/05/11",~ 06/10(수)
53933446,서울,(주)피플케어코리아,"SAP 모듈 운영 (PP, SD, PS, CO) 각 모듈별 1-2명 채용- 대기업","SAP, 식음료 등록일 26/05/19",~ 06/03(수)
53933424,서울,(주)코어시큐리티,보안 로그 분석 및 대응 프로세스 개선 담당(Security Analyst),"정보보안, 보안관제, 보안, 정보보안, 해킹 수정일 26/05/19",~ 06/18(목)
53933400,서울,(주)인싸이트에이치알지,우량 B2B IT 인프라 구축운영 기업 영업팀장,"네트워크, 솔루션, 인프라, 클라우드, 기술영업 외                    수정일 26/05/19",~ 06/03(수)
53706507,서울,(주)디노텍,(주)디노텍 케이뱅크 보안 운영 엔지니어(상주),"기술지원, 정보보안, SE(시스템엔지니어), 방화벽, 솔루션 외                    수정일 26/05/19",~ 05/31(일)
53920059,서울,글로우업리즈(주),글로우업리즈(주) 개발자 채용합니다.,"백엔드/서버개발, 앱개발, 웹개발, 개발PM, 전자상거래 외                    등록일 26/05/18",~ 06/17(수)
53933370,서울,(주)피플케어코리아,SAP FI/TR 운영 (대리-차장급) - 대기업 계열사,"IT컨설팅, 식음료 등록일 26/05/19",~ 06/03(수)
53933327,서울,(주)아이싸이랩,Computer Vision & AI 개발자,"영상처리, 컴퓨터비전, 소프트웨어개발 수정일 26/05/19",~ 05/29(금)
53890503,서울,(주)엔키화이트햇,[엔키화이트햇] RedOps 3팀: 침투테스트 자동화 보안솔루션 운영,"네트워크, 모의해킹, 방화벽, 악성코드, 인프라 외                    수정일 26/05/14",~ 06/13(토)
53933299,서울,(주)유니베이아이엔씨,[프로젝트/수원·서초] 데이터 엔지니어 경력 채용,"데이터엔지니어, 빅데이터, ETL, 데이터파이프라인, 소프트웨어개발 등록일 26/05/19",~ 06/03(수)
53933270,서울,( 주)투라인클라우드,SW 품질관리(QC) 경력,"QA/테스터, QC, SQA, SI·시스템통합, DBMS 외                    수정일 26/05/19",~ 06/18(목)
53675639,서울,(주)에이엑스,[AX] AI 에이전트 개발자 (백엔드 + 데이터 엔지니어링),"백엔드/서버개발, 앱개발, 웹개발, AI(인공지능), 소프트웨어개발 수정일 26/05/19",채용시
53933246,서울,케이디시스(주),IT 기술 영업  정규직 채용공고 (신입/경력),"기술지원, 보안컨설팅, IT컨설팅, 네트워크, 솔루션 외                    등록일 26/05/19",~ 06/18(목)
53933242,서울,(주)비즈앤뱅크,사무업무 채용(영어 가능자),"IT컨설팅, QA/테스터, IT컨설팅, SAP, ERP 등록일 26/05/19",~ 06/18(목)
53830160,서울,(주)오썸피아,(주)오썸피아에서 함께 성장할 AI 개발자를 찾고 있어요,"데이터엔지니어, 백엔드/서버개발, 데이터 사이언티스트, 솔루션업체 수정일 26/05/19",~ 07/07(화)
51148630,서울,(주)심슨교육,2026 심슨어학원 부문별 인재채용,"유지보수, 더존, 법인결산, 부가세신고, 회계결산 외                    수정일 26/04/07",~ 05/30(토)
53698892,서울,(주)와이즈스톤티,[와이즈스톤티] 소프트웨어 QA 테스터 신입/경력 모집,"QA/테스터, S/W, 소프트웨어개발 수정일 26/05/19",~ 06/21(일)
53801181,서울,마린웍스(주),AI(인공지능)과 조선공학 기반의 선박 데이터 분석 연구원 채용,"데이터분석가, 딥러닝, 머신러닝, 모델링, 빅데이터 외                    수정일 26/05/13",~ 06/12(금)
53816641,서울,마린웍스(주),C# 기반 응용 프로그램 개발자 채용,"백엔드/서버개발, 미들웨어, 빅데이터, 솔루션, API 외                    수정일 26/05/13",~ 06/12(금)
53933131,서울,(주)베데스다소프트,웹 시스템 운영 직원 모집 (신입),"기술지원, 솔루션, SI·시스템통합, 시스템관리, 솔루션업체 외                    등록일 26/05/19",~ 06/18(목)
53933128,서울,(주)크라우드웍스,[재택] OCR 데이터 검수 담당자(PA) 모집,"OCR, PM(프로젝트매니저), 컨텐츠제공 수정일 26/05/19",~ 06/18(목)
53933117,서울,(주)하이컨시,(주)하이컨시 프론트엔드 개발자 경력 채용 공고,"프론트엔드, 보습학원 등록일 26/05/19",~ 06/18(목)
53923814,서울,(주)제이원시스,제이원시스 IT 정보보안 엔지니어 신입/경력 채용공고(정규직),"정보보안, 정보보안 수정일 26/05/19",~ 06/17(수)
